## This file was created at AspGD on Thu Sep 24 08:59:44 PDT 2009
Afu5g11810	ASPL0000062573	nudA
Afu8g05840	ASPL0000012551	AN7919
Afu3g02040	ASPL0000030544	AN8421
Afu3g02710	ASPL0000056140	AN1030
Afu2g16250	ASPL0000041877	csnE
Afu5g09420	ASPL0000073313	AN8817
Afu6g07850	ASPL0000051399	AN1943
Afu5g04180	ASPL0000010457	AN8270
Afu6g05160	ASPL0000001242	AN6503
Afu5g09120	ASPL0000052917	AN1101
Afu5g01970	ASPL0000009927	AN8041
Afu4g01270	ASPL0000040047	AN3285
Afu6g05180	ASPL0000000406	AN6501
Afu3g07980	ASPL0000040840	AN10370
Afu1g17140	ASPL0000075615	AN8597
Afu6g09900	ASPL0000044430	AN2378
Afu4g03790	ASPL0000064241	AN10900
Afu4g13010	ASPL0000012431	AN3579
Afu8g04170	ASPL0000050544	AN1421
Afu2g13090	ASPL0000005413	AN6252
Afu2g16650	ASPL0000064411	AN10927
Afu2g16170	ASPL0000051071	AN2135
Afu3g11280	ASPL0000075961	chiB
Afu1g08870	ASPL0000059599	AN1391
Afu6g03200	ASPL0000068046	AN7373
Afu1g07340	ASPL0000033123	ahbB
Afu5g08710	ASPL0000070941	AN4705
Afu8g05830	ASPL0000047879	AN1565
Afu7g02550	ASPL0000035103	AN9064
Afu4g12140	ASPL0000016950	AN10450
Afu2g10660	ASPL0000002721	AN5975
Afu1g14490	ASPL0000058221	AN0780
Afu3g07230	ASPL0000076527	AN4830
Afu7g04250	ASPL0000028467	AN5682
Afu1g15170	ASPL0000054472	AN0868
Afu2g04350	ASPL0000047196	AN1880
Afu1g11850	ASPL0000057060	AN1106
Afu4g11930	ASPL0000009569	AN3629
Afu2g13760	ASPL0000045851	AN2419
Afu5g13220	ASPL0000000252	AN6878
Afu3g13990	ASPL0000042426	AN2489
Afu4g09180	ASPL0000060906	AN0219
Afu1g02210	ASPL0000057110	AN10055
Afu6g12860	ASPL0000011163	AN10466
Afu2g00360	ASPL0000039264	AN10334
Afu8g02660	ASPL0000036722	AN3341
Afu6g06890	ASPL0000030134	AN5741
Afu1g13370	ASPL0000055219	AN0675
Afu7g01640	ASPL0000039963	AN9147
Afu8g04630	ASPL0000050857	AN1472
Afu3g11920	ASPL0000037040	AN2859
Afu1g11770	ASPL0000060797	AN1117
Afu4g10170	ASPL0000047536	AN2015
Afu1g15180	ASPL0000062818	AN0867
Afu1g03440	ASPL0000056747	AN0257
Afu3g14140	ASPL0000043471	AN2503
Afu3g09640	ASPL0000040432	AN3074
Afu2g11310	ASPL0000005434	AN5882
Afu2g00340	ASPL0000034938	AN10333
Afu2g09350	ASPL0000014451	AN3777
Afu1g13160	ASPL0000062493	AN0654
Afu1g04760	ASPL0000056906	AN0427
Afu8g04910	ASPL0000065674	AN7392
Afu5g08580	ASPL0000076055	AN4716
Afu6g00120	ASPL0000039259	AN11680
Afu7g03670	ASPL0000010702	AN8289
Afu2g13870	ASPL0000050313	AN10303
Afu4g03730	ASPL0000065246	AN7139
Afu1g12380	ASPL0000053276	AN1056
Afu7g00220	ASPL0000051609	AN2614
Afu6g05000	ASPL0000012389	AN3837
Afu8g02560	ASPL0000051249	AN2583
Afu7g06550	ASPL0000035129	AN2650
Afu3g15040	ASPL0000046745	AN2576
Afu6g13070	ASPL0000031405	AN10676
Afu2g03970	ASPL0000016366	AN3789
Afu1g16990	ASPL0000055078	AN0632
Afu5g12390	ASPL0000054415	AN0063
Afu1g14390	ASPL0000058801	AN0774
Afu5g11430	ASPL0000053351	AN0158
Afu5g13300	ASPL0000001092	prtB
Afu1g09590	ASPL0000053240	AN1330
Afu5g03180	ASPL0000015859	AN8191
Afu2g13580	ASPL0000001812	AN6335
Afu2g16280	ASPL0000066767	AN7361
Afu2g12300	ASPL0000001480	AN6296
Afu3g14620	ASPL0000041764	AN2534
Afu5g02600	ASPL0000016665	AN8003
Afu5g14390	ASPL0000043234	AN1824
Afu6g07370	ASPL0000033607	AN5204
Afu7g04840	ASPL0000039774	AN2805
Afu4g09120	ASPL0000047587	AN1629
Afu1g09250	ASPL0000061110	AN1362
Afu1g13940	ASPL0000062377	AN0726
Afu1g07590	ASPL0000029828	AN5115
Afu5g04220	ASPL0000012182	AN8274
Afu1g12030	ASPL0000060028	AN1068
Afu7g05450	ASPL0000003145	AN6697
Afu7g01260	ASPL0000036193	AN3374
Afu3g08430	ASPL0000039073	AN2977
Afu1g13300	ASPL0000062476	riboB
Afu3g06890	ASPL0000071321	AN4799
Afu5g08090	ASPL0000069714	pyroA
Afu5g01810	ASPL0000016851	pigP
Afu5g03140	ASPL0000013372	AN8188
Afu3g13440	ASPL0000036464	AN3163
Afu4g12350	ASPL0000015483	AN3664
Afu2g14360	ASPL0000048995	AN2385
Afu1g05520	ASPL0000072989	AN10599
Afu4g12110	ASPL0000011825	AN10433
Afu1g02800	ASPL0000053824	AN0299
Afu6g00110	ASPL0000037091	AN2728
Afu1g12490	ASPL0000052200	veA
Afu5g11540	ASPL0000056760	AN0142
Afu5g03770	ASPL0000018013	AN8242
Afu7g01850	ASPL0000037589	AN9125
Afu2g04840	ASPL0000047757	AN2082
Afu1g09830	ASPL0000055565	AN1282
Afu3g08900	ASPL0000035810	AN3022
Afu2g03840	ASPL0000017348	AN3803
Afu3g12720	ASPL0000041466	AN3115
Afu1g09370	ASPL0000057380	AN1351
Afu4g06350	ASPL0000073265	AN4346
Afu8g02020	ASPL0000032721	AN9503
Afu7g05070	ASPL0000043709	AN10296
Afu4g09880	ASPL0000047216	AN1856
Afu1g03730	ASPL0000011265	AN4019
Afu2g03610	ASPL0000012045	AN10476
Afu1g10280	ASPL0000060193	AN1254
Afu2g16970	ASPL0000066251	AN10922
Afu2g00110	ASPL0000003513	AN6883
Afu6g05210	ASPL0000001172	AN6499
Afu6g06680	ASPL0000032279	AN5763
Afu2g01450	ASPL0000067534	AN7672
Afu3g10970	ASPL0000075395	AN4896
Afu1g12590	ASPL0000060980	AN1045
Afu3g00990	ASPL0000013262	AN4110
Afu5g06040	ASPL0000045893	AN2304
Afu3g02300	ASPL0000057571	AN11221
Afu1g13990	ASPL0000052937	AN0723
Afu5g08320	ASPL0000068374	AN7705
Afu2g08750	ASPL0000045861	AN2185
Afu6g13090	ASPL0000033740	AN5513
Afu5g14560	ASPL0000037062	AN9166
Afu4g11350	ASPL0000029539	AN5600
Afu3g10710	ASPL0000071377	AN4918
Afu4g11600	ASPL0000031431	AN5575
Afu1g03700	ASPL0000013579	AN4022
Afu4g03410	ASPL0000067260	AN7169
Afu2g09620	ASPL0000006656	AN6051
Afu2g13810	ASPL0000068576	AN7633
Afu2g14630	ASPL0000053345	AN9383
Afu3g07670	ASPL0000075205	AN4861
Afu1g09660	ASPL0000055415	AN10172
Afu1g09930	ASPL0000061356	AN1274
Afu3g14880	ASPL0000042094	AN10323
Afu7g05090	ASPL0000016677	AN3991
Afu8g04510	ASPL0000048935	AN1460
Afu1g07080	ASPL0000032697	AN5155
Afu5g12440	ASPL0000061326	AN0059
Afu5g12260	ASPL0000061308	AN0075
Afu2g13770	ASPL0000042723	flbC
Afu3g01780	ASPL0000029587	AN8356
Afu2g14060	ASPL0000000398	AN6366
Afu2g11670	ASPL0000004205	AN6187
Afu6g10260	ASPL0000067226	AN7193
Afu6g00200	ASPL0000068446	AN7332
Afu3g00340	ASPL0000053148	AN0393
Afu5g11340	ASPL0000062257	AN0167
Afu2g02010	ASPL0000070913	AN4578
Afu5g06430	ASPL0000041817	AN2268
Afu6g08440	ASPL0000014459	AN3920
Afu2g01120	ASPL0000064583	AN10978
Afu6g07710	ASPL0000050403	AN1917
Afu2g13510	ASPL0000006887	AN6328
Afu2g02810	ASPL0000073507	AN4540
Afu1g04880	ASPL0000053327	AN0416
Afu2g08770	ASPL0000050307	AN2184
Afu6g14160	ASPL0000031737	AN5348
Afu2g05680	ASPL0000069024	AN7481
Afu2g02380	ASPL0000074071	AN4622
Afu4g04630	ASPL0000063535	AN10878
Afu4g07940	ASPL0000013248	AN3855
Afu4g11330	ASPL0000030224	AN5602
Afu3g08380	ASPL0000034810	AN2968
Afu1g04540	ASPL0000053317	AN0432
Afu4g07170	ASPL0000074375	AN4411
Afu1g16540	ASPL0000057485	AN10137
Afu1g06320	ASPL0000017592	AN4224
Afu3g12150	ASPL0000073435	AN5025
Afu4g03590	ASPL0000065240	AN7147
Afu4g00340	ASPL0000051861	AN0949
Afu7g03720	ASPL0000018282	AN8285
Afu3g10090	ASPL0000072345	AN4979
Afu2g10230	ASPL0000003632	AN5985
Afu4g07810	ASPL0000010062	AN3866
Afu3g00270	ASPL0000016850	eglC
Afu3g14470	ASPL0000046486	AN2525
Afu1g07040	ASPL0000029200	AN10646
Afu1g05680	ASPL0000012338	AN4088
Afu4g04410	ASPL0000065284	AN7008
Afu4g00120	ASPL0000010955	AN4107
Afu5g11040	ASPL0000059258	pantoA
Afu4g08240	ASPL0000014116	AN3873
Afu5g01120	ASPL0000048003	AN8927
Afu2g05350	ASPL0000063353	AN10958
Afu2g10960	ASPL0000005788	AN5913
Afu3g12770	ASPL0000035041	AN3119
Afu6g12610	ASPL0000017304	AN3692
Afu5g13230	ASPL0000005291	AN6879
Afu2g01230	ASPL0000063317	AN10990
Afu5g12040	ASPL0000051983	AN9523
Afu3g13320	ASPL0000040942	AN3172
Afu1g07750	ASPL0000028392	AN5099
Afu1g06110	ASPL0000017614	AN4216
Afu5g02190	ASPL0000009377	AN8058
Afu6g05030	ASPL0000008782	AN6518
Afu2g03680	ASPL0000011591	AN3819
Afu5g01550	ASPL0000072135	AN11098
Afu5g12610	ASPL0000053369	AN0043
Afu1g17220	ASPL0000031573	AN8327
Afu6g08850	ASPL0000048211	AN1743
Afu4g11990	ASPL0000017953	AN3635
Afu2g02160	ASPL0000075245	nup42
Afu4g03750	ASPL0000007836	AN6778
Afu1g01850	ASPL0000058297	AN10059
Afu6g02590	ASPL0000067296	AN10895
Afu2g11990	ASPL0000005718	AN10780
Afu4g04070	ASPL0000068918	AN7041
Afu1g05390	ASPL0000018215	AN4064
Afu6g12970	ASPL0000005121	nudF
Afu6g09810	ASPL0000067592	AN7525
Afu3g06870	ASPL0000070549	AN4797
Afu4g11840	ASPL0000031901	AN5534
Afu2g02000	ASPL0000075265	AN4579
Afu5g02050	ASPL0000017541	AN11033
Afu5g07580	ASPL0000068540	AN7764
Afu8g05480	ASPL0000046029	AN1537
Afu6g13570	ASPL0000029968	AN5440
Afu1g02640	ASPL0000054519	AN10064
Afu6g00130	ASPL0000041530	AN2729
Afu3g06330	ASPL0000077601	AN4752
Afu5g10960	ASPL0000026448	AN8455
Afu5g02530	ASPL0000017952	AN7995
Afu4g06910	ASPL0000077985	AN4402
Afu4g07210	ASPL0000071541	AN4430
Afu1g06800	ASPL0000028393	AN5234
Afu2g09090	ASPL0000000173	AN6073
Afu2g16770	ASPL0000067262	AN7304
Afu6g06860	ASPL0000032299	rgsA
Afu2g11720	ASPL0000002380	AN6191
Afu2g04280	ASPL0000043514	AN1891
Afu1g07740	ASPL0000031106	AN5100
Afu1g15080	ASPL0000056520	AN0849
Afu5g10670	ASPL0000036074	AN2830
Afu7g05870	ASPL0000002609	AN6726
Afu3g03570	ASPL0000059754	AN9297
Afu1g15770	ASPL0000059302	AN0911
Afu5g07240	ASPL0000050735	AN2231
Afu2g15900	ASPL0000041825	AN2161
Afu3g10570	ASPL0000070573	AN4932
Afu5g11710	ASPL0000058114	AN10016
Afu3g01880	ASPL0000040077	AN3269
Afu1g05080	ASPL0000036346	AN2734
Afu2g10470	ASPL0000000141	AN5961
Afu2g16740	ASPL0000063167	AN10923
Afu2g03860	ASPL0000017270	AN3799
Afu4g03980	ASPL0000067926	AN7048
Afu3g05940	ASPL0000034383	AN2771
Afu5g13000	ASPL0000000837	AN6853
Afu2g05490	ASPL0000068560	AN7498
Afu7g06870	ASPL0000034482	AN2616
Afu6g04170	ASPL0000007659	AN6604
Afu6g13780	ASPL0000015267	AN8077
Afu4g01020	ASPL0000038286	AN3214
Afu8g04790	ASPL0000042180	AN10200
Afu7g04460	ASPL0000011885	AN3747
Afu2g14930	ASPL0000066519	AN7564
Afu1g02780	ASPL0000061677	AN0300
Afu8g04870	ASPL0000075159	AN8642
Afu3g06210	ASPL0000074717	AN4739
Afu5g09950	ASPL0000047369	AN10293
Afu3g07210	ASPL0000072917	AN4823
Afu1g12570	ASPL0000052410	AN10139
Afu2g10260	ASPL0000002705	AN5983
Afu5g13560	ASPL0000004753	AN6908
Afu2g12250	ASPL0000001589	AN6300
Afu2g11540	ASPL0000007762	AN5861
Afu2g01530	ASPL0000066473	AN7679
Afu2g14290	ASPL0000046542	AN2410
Afu2g09680	ASPL0000003471	AN6046
Afu1g02200	ASPL0000052076	AN10073
Afu4g04450	ASPL0000063935	AN7004
Afu5g11760	ASPL0000052688	AN0121
Afu1g06200	ASPL0000014080	AN4235
Afu6g13530	ASPL0000027277	AN5443
Afu2g00100	ASPL0000008397	AN6884
Afu6g09170	ASPL0000048463	pantoB
Afu5g11170	ASPL0000061821	AN10043
Afu2g05580	ASPL0000066727	AN7492
Afu8g06700	ASPL0000049229	AN1606
Afu3g09910	ASPL0000073101	AN4997
Afu4g13030	ASPL0000011597	AN3577
Afu5g05720	ASPL0000077703	AN8850
Afu5g09860	ASPL0000071553	AN8782
Afu1g16340	ASPL0000054337	AN10136
Afu1g15140	ASPL0000052900	AN0870
Afu5g08680	ASPL0000076075	AN4708
Afu2g07400	ASPL0000002547	AN5801
Afu5g12930	ASPL0000005854	AN6846
Afu3g13240	ASPL0000034538	AN3184
Afu2g16930	ASPL0000068840	AN7287
Afu2g09890	ASPL0000004979	AN6015
Afu1g06820	ASPL0000026735	AN5718
Afu4g05830	ASPL0000073543	AN4290
Afu7g05200	ASPL0000015275	AN7949
Afu6g13380	ASPL0000028028	AN5453
Afu2g09870	ASPL0000001581	AN10765
Afu2g10060	ASPL0000003109	AN6003
Afu2g00230	ASPL0000056172	AN0394
Afu2g04910	ASPL0000044176	AN2085
Afu5g13330	ASPL0000003509	AN6891
Afu5g06020	ASPL0000072545	AN8823
Afu8g00680	ASPL0000029334	AN8444
Afu3g09100	ASPL0000036540	AN3040
Afu7g06430	ASPL0000031088	AN5231
Afu5g07720	ASPL0000064797	AN7755
Afu1g14210	ASPL0000052066	AN0746
Afu3g06570	ASPL0000074685	AN9485
Afu1g07260	ASPL0000028477	AN10636
Afu1g12890	ASPL0000053114	AN1013
Afu5g06810	ASPL0000046237	AN2240
Afu3g13270	ASPL0000038734	AN3177
Afu3g07340	ASPL0000075985	AN4839
Afu4g08280	ASPL0000050851	AN1706
Afu5g10360	ASPL0000058963	AN1306
Afu1g10170	ASPL0000054454	AN1262
Afu2g01830	ASPL0000076285	AN4652
Afu6g07420	ASPL0000031789	AN5209
Afu3g04010	ASPL0000062233	AN9392
Afu1g06090	ASPL0000016753	teaR
Afu5g11990	ASPL0000060926	AN0104
Afu8g05290	ASPL0000046714	AN1520
Afu3g02320	ASPL0000054183	AN9360
Afu4g08820	ASPL0000047537	AN1661
Afu6g03520	ASPL0000007882	AN6655
Afu4g10580	ASPL0000044135	AN1981
Afu8g04580	ASPL0000047324	AN1467
Afu2g06140	ASPL0000067218	AN7435
Afu2g10280	ASPL0000003646	AN5977
Afu3g13580	ASPL0000056808	AN1309
Afu1g16310	ASPL0000059515	AN10134
Afu2g04690	ASPL0000016198	AN7967
Afu2g15040	ASPL0000064621	AN7577
Afu3g06390	ASPL0000075101	AN10586
Afu3g06840	ASPL0000073357	AN4794
Afu3g14670	ASPL0000045807	AN9000
Afu1g03870	ASPL0000018239	AN4048
Afu2g12640	ASPL0000034303	gprD
Afu7g00280	ASPL0000058731	AN11209
Afu6g05040	ASPL0000003913	AN6517
Afu8g01150	ASPL0000072147	AN4821
Afu5g06340	ASPL0000047412	AN2277
Afu2g01440	ASPL0000063747	AN7671
Afu6g03140	ASPL0000064031	AN7702
Afu4g07330	ASPL0000076605	AN4441
Afu7g00710	ASPL0000036864	AN2840
Afu5g12380	ASPL0000057575	AN0064
Afu4g09830	ASPL0000048187	AN1858
Afu2g04330	ASPL0000042515	AN1881
Afu8g04030	ASPL0000044993	AN1412
Afu5g07260	ASPL0000051695	AN2233
Afu5g07660	ASPL0000064199	AN7761
Afu6g13230	ASPL0000027189	AN10675
Afu2g12180	ASPL0000000161	AN6307
Afu8g07350	ASPL0000063613	AN11002
Afu5g13940	ASPL0000002100	AN10863
Afu5g10640	ASPL0000054952	AN0057
Afu1g01910	ASPL0000052662	AN0367
Afu3g08310	ASPL0000040358	AN2970
Afu6g07150	ASPL0000049306	AN2190
Afu5g10650	ASPL0000050929	AN10290
Afu6g05010	ASPL0000011561	AN3835
Afu2g10520	ASPL0000006563	uaZ
Afu2g14470	ASPL0000008403	AN6876
Afu1g12750	ASPL0000062786	AN0998
Afu1g12730	ASPL0000059635	AN0997
Afu4g09990	ASPL0000050365	AN2053
Afu3g01950	ASPL0000027153	AN8406
Afu2g05840	ASPL0000066091	AN7466
Afu2g09100	ASPL0000005213	AN6074
Afu8g01960	ASPL0000035826	AN2660
Afu5g10370	ASPL0000047708	AN2332
Afu2g08860	ASPL0000004691	AN6111
Afu1g04820	ASPL0000055817	AN0423
Afu1g02490	ASPL0000056012	AN0319
Afu2g05900	ASPL0000067816	AN7461
Afu8g04020	ASPL0000049284	AN10190
Afu5g11450	ASPL0000058512	AN0156
Afu1g03600	ASPL0000016384	AN4052
Afu1g15700	ASPL0000056671	AN0904
Afu5g14310	ASPL0000035237	AN3305
Afu4g12330	ASPL0000017820	AN10452
Afu5g04090	ASPL0000010822	AN11071
Afu4g13260	ASPL0000045931	AN1934
Afu4g11260	ASPL0000033098	AN9474
Afu7g05260	ASPL0000005578	AN6676
Afu6g14420	ASPL0000034700	AN2810
Afu1g14740	ASPL0000056854	AN0816
Afu2g01940	ASPL0000077373	AN4574
Afu6g09010	ASPL0000047484	AN1776
Afu4g13930	ASPL0000053954	AN0485
Afu1g06530	ASPL0000009147	AN4250
Afu7g04530	ASPL0000008134	AN6817
Afu7g05390	ASPL0000004741	AN6690
Afu8g02800	ASPL0000046738	AN8878
Afu4g12670	ASPL0000010137	AN3620
Afu8g05060	ASPL0000046728	AN1504
Afu3g12990	ASPL0000037036	AN3130
Afu1g02580	ASPL0000060122	AN0313
Afu5g10040	ASPL0000013231	AN3863
Afu4g06780	ASPL0000072695	AN4387
Afu3g05610	ASPL0000040569	AN10418
Afu3g11220	ASPL0000073135	AN4874
Afu6g08960	ASPL0000051129	AN1757
Afu6g05340	ASPL0000004435	AN6488
Afu7g01980	ASPL0000038710	AN11177
Afu1g15380	ASPL0000056372	AN10133
Afu4g06120	ASPL0000077497	AN4320
Afu2g10810	ASPL0000004916	AN10754
Afu8g01560	ASPL0000040902	AN3414
Afu2g07910	ASPL0000049573	AN8912
Afu5g06100	ASPL0000044764	AN2298
Afu1g01640	ASPL0000009675	AN3970
Afu4g14580	ASPL0000005081	AN6447
Afu8g06890	ASPL0000034956	AN3389
Afu8g06930	ASPL0000076907	AN8590
Afu2g08090	ASPL0000004051	AN10736
Afu1g10750	ASPL0000059481	AN1201
Afu5g12950	ASPL0000006739	AN6848
Afu6g08510	ASPL0000015446	AN3914
Afu2g02670	ASPL0000076569	AN4556
Afu2g02910	ASPL0000073527	AN4532
Afu1g11500	ASPL0000062456	AN1147
Afu1g04500	ASPL0000054353	AN0436
Afu1g05630	ASPL0000016707	AN4087
Afu3g01980	ASPL0000035408	AN3356
Afu2g13890	ASPL0000045837	AN2427
Afu5g12470	ASPL0000059067	AN0051
Afu5g08140	ASPL0000064637	AN7720
Afu3g11620	ASPL0000041408	AN2884
Afu1g17490	ASPL0000015028	AN11038
Afu1g11700	ASPL0000053927	AN1121
Afu5g11160	ASPL0000058679	AN10026
Afu8g01010	ASPL0000037699	AN3239
Afu2g08260	ASPL0000002446	AN6167
Afu6g12480	ASPL0000013513	AN10437
Afu7g01790	ASPL0000037581	AN9133
Afu6g07210	ASPL0000029401	AN5148
Afu3g14630	ASPL0000027732	AN5398
Afu1g13470	ASPL0000058983	AN0686
Afu1g12190	ASPL0000054902	AN10146
Afu7g00920	ASPL0000027614	AN8512
Afu7g01070	ASPL0000036201	AN3358
Afu2g10430	ASPL0000006654	AN10758
Afu3g07600	ASPL0000074613	AN10607
Afu6g11020	ASPL0000054847	AN0593
Afu5g07670	ASPL0000067310	AN7760
Afu4g03620	ASPL0000065959	AN7149
Afu4g08100	ASPL0000010669	AN3833
Afu4g09670	ASPL0000046323	AN1846
Afu4g09470	ASPL0000054545	AN0606
Afu2g15880	ASPL0000042747	kapG
Afu3g02770	ASPL0000036774	AN3083
Afu5g11500	ASPL0000057116	AN10039
Afu4g13590	ASPL0000031867	AN5657
Afu4g13740	ASPL0000029236	AN5668
Afu1g11350	ASPL0000038654	AN2625
Afu5g08740	ASPL0000077313	AN4697
Afu3g06650	ASPL0000073373	AN4778
Afu1g10220	ASPL0000059123	AN1250
Afu5g12270	ASPL0000058158	AN0074
Afu2g08730	ASPL0000006379	AN6123
Afu2g01550	ASPL0000064383	AN7681
Afu2g10800	ASPL0000003463	AN5926
Afu2g15580	ASPL0000066103	AN7601
Afu1g08980	ASPL0000012911	AN4178
Afu3g09190	ASPL0000075229	AN4829
Afu6g14260	ASPL0000028911	AN5340
Afu2g16070	ASPL0000046594	AN2144
Afu7g03850	ASPL0000013469	AN4268
Afu1g09170	ASPL0000055325	AN1370
Afu8g02760	ASPL0000049231	amc-1
Afu4g08410	ASPL0000046364	AN1715
Afu7g04820	ASPL0000014469	AN3769
Afu1g12700	ASPL0000053389	AN0995
Afu5g12870	ASPL0000003185	AN6824
Afu1g04020	ASPL0000010437	AN4017
Afu1g11900	ASPL0000055961	AN10166
Afu6g06710	ASPL0000027483	AN5760
Afu5g08380	ASPL0000067728	AN7699
Afu7g00150	ASPL0000007214	aptC
Afu8g04490	ASPL0000041694	AN1458
Afu3g02830	ASPL0000075867	AN8767
Afu3g06220	ASPL0000075999	AN4740
Afu2g17270	ASPL0000067436	AN7240
Afu4g14700	ASPL0000047466	AN1792
Afu8g04970	ASPL0000048781	AN10211
Afu7g05240	ASPL0000070727	AN8780
Afu8g04200	ASPL0000047010	AN1432
Afu1g01540	ASPL0000061445	AN0392
Afu6g10120	ASPL0000070617	AN11094
Afu5g11650	ASPL0000061525	AN0130
Afu1g15620	ASPL0000054998	AN0894
Afu1g13520	ASPL0000052204	AN0690
Afu2g01680	ASPL0000068752	AN7684
Afu8g02300	ASPL0000048651	AN9014
Afu2g09500	ASPL0000007465	AN6061
Afu2g09630	ASPL0000001620	AN6050
Afu2g00970	ASPL0000066275	AN7636
Afu1g04680	ASPL0000058096	AN0447
Afu2g16060	ASPL0000041831	AN2145
Afu6g00360	ASPL0000030384	AN5387
Afu6g14570	ASPL0000028342	AN5500
Afu1g03490	ASPL0000058893	AN0254
Afu6g07060	ASPL0000026527	AN5175
Afu5g06360	ASPL0000046534	AN2275
Afu6g13130	ASPL0000029003	AN5498
Afu2g01460	ASPL0000064393	AN7673
Afu5g02380	ASPL0000012287	AN8020
Afu6g07680	ASPL0000048123	AN10236
Afu2g12050	ASPL0000003744	AN6216
Afu2g12870	ASPL0000003949	AN6267
Afu5g11780	ASPL0000060920	tapA
Afu3g00280	ASPL0000009835	AN3565
Afu3g08600	ASPL0000034768	AN2992
Afu1g02180	ASPL0000054559	AN0348
Afu2g02190	ASPL0000076763	AN4599
Afu4g08970	ASPL0000048509	AN1671
Afu2g03350	ASPL0000074729	AN4497
Afu5g02850	ASPL0000073703	AN5068
Afu2g14980	ASPL0000064639	AN7569
Afu2g10920	ASPL0000002515	echA
Afu3g08010	ASPL0000035285	sltA
Afu5g02240	ASPL0000013988	AN8032
Afu8g05850	ASPL0000045198	AN2230
Afu5g10290	ASPL0000048717	AN2334
Afu2g04480	ASPL0000046293	AN1870
Afu2g03290	ASPL0000074811	AN4501
Afu3g05690	ASPL0000040320	AN3439
Afu4g04220	ASPL0000068928	AN7025
Afu6g03070	ASPL0000064513	AN7161
Afu2g04900	ASPL0000048765	AN2084
Afu6g06850	ASPL0000028200	AN5754
Afu4g07990	ASPL0000010307	AN10480
Afu7g04670	ASPL0000017900	AN3758
Afu1g13930	ASPL0000061521	AN9438
Afu1g11600	ASPL0000058791	AN1136
Afu4g04530	ASPL0000066053	AN10875
Afu6g10430	ASPL0000043096	AN10309
Afu6g06350	ASPL0000026911	AN5793
Afu2g01750	ASPL0000058859	AN0369
Afu2g16700	ASPL0000065492	AN7309
Afu2g10220	ASPL0000008512	AN5986
Afu1g14020	ASPL0000054891	AN0720
Afu3g05730	ASPL0000037123	AN3431
Afu8g04480	ASPL0000032871	AN8347
Afu8g05330	ASPL0000048575	AN1524
Afu8g05040	ASPL0000051235	AN1503
Afu6g09210	ASPL0000046606	AN1782
Afu2g12080	ASPL0000006615	AN10782
Afu1g10490	ASPL0000058041	AN1230
Afu3g11580	ASPL0000035002	AN2888
Afu6g08480	ASPL0000011235	AN3915
Afu1g12870	ASPL0000055052	AN1010
Afu6g11560	ASPL0000047979	AN8943
Afu5g14780	ASPL0000016761	AN10506
Afu1g11810	ASPL0000059167	AN10167
Afu7g01460	ASPL0000036430	AN3413
Afu6g07050	ASPL0000012025	AN8100
Afu2g08210	ASPL0000002438	AN6175
Afu5g04310	ASPL0000011755	AN4280
Afu1g15680	ASPL0000061952	AN0902
Afu7g02630	ASPL0000037145	AN11173
Afu2g08050	ASPL0000001914	AN5850
Afu3g09840	ASPL0000071879	AN5005
Afu1g03510	ASPL0000052676	AN0252
Afu1g05370	ASPL0000017274	AN4062
Afu7g06660	ASPL0000067468	AN7232
Afu1g05950	ASPL0000010585	AN4199
Afu7g05160	ASPL0000015653	AN8108
Afu1g07110	ASPL0000027888	AN5152
Afu5g05890	ASPL0000074849	AN8837
Afu2g16000	ASPL0000051065	AN2151
Afu1g09580	ASPL0000056250	AN1331
Afu6g10690	ASPL0000044774	AN2433
Afu5g10600	ASPL0000051365	AN2313
Afu5g02880	ASPL0000009885	AN8164
Afu5g12920	ASPL0000000841	AN6845
Afu4g06520	ASPL0000074099	AN4364
Afu4g02920	ASPL0000033857	AN3190
Afu3g01120	ASPL0000034684	AN2675
Afu5g09400	ASPL0000074159	AN8819
Afu4g11270	ASPL0000029149	AN9473
Afu7g01190	ASPL0000042974	AN8901
Afu6g05300	ASPL0000002619	hapE
Afu1g06280	ASPL0000014124	AN4227
Afu1g03060	ASPL0000059874	AN0290
Afu2g10530	ASPL0000007325	AN9472
Afu3g00120	ASPL0000014990	AN8026
Afu1g06450	ASPL0000014068	AN4243
Afu4g06820	ASPL0000074755	AN4390
Afu6g05320	ASPL0000001730	AN6490
Afu4g11640	ASPL0000026409	AN5572
Afu7g04200	ASPL0000026383	AN5687
Afu4g07890	ASPL0000016774	AN3852
Afu2g14000	ASPL0000003621	AN6371
Afu5g08160	ASPL0000063573	AN7719
Afu4g09090	ASPL0000048559	AN1639
Afu2g11920	ASPL0000003760	AN6208
Afu3g06010	ASPL0000035794	AN2759
Afu5g08900	ASPL0000074943	AN4691
Afu5g04050	ASPL0000016520	AN8257
Afu2g04470	ASPL0000051723	AN1871
Afu2g01100	ASPL0000004842	AN6420
Afu3g02360	ASPL0000061100	AN9356
Afu3g07530	ASPL0000075207	palI
Afu3g08070	ASPL0000004184	AN6445
Afu4g11880	ASPL0000030386	AN5530
Afu7g00110	ASPL0000045913	AN1799
Afu2g03600	ASPL0000013850	AN3822
Afu2g13380	ASPL0000006913	AN6221
Afu2g09150	ASPL0000006911	nadA
Afu5g05450	ASPL0000071167	AN8870
Afu1g01970	ASPL0000062886	velB
Afu6g06800	ASPL0000032961	AN5749
